tree_id,tree_type,tree_lat,tree_lng,tree_notes,tree_add_date,tree_user_id,tree_private
13,Pears,33.74378,-84.33986,,02/17/11,98.88.255.85,0
14,Pears,33.74376,-84.33986,,02/17/11,98.88.255.85,0
18,Blueberries,33.74403,-84.33928,,02/17/11,98.88.255.85,0
19,Other,33.74379,-84.33984,Raspberries,02/17/11,98.88.255.85,0
20,Persimmon,33.74114,-84.33189,Japanese,02/17/11,98.88.255.85,0
21,Pomegranates,33.74114,-84.33179,,02/17/11,98.88.255.85,0
22,Figs,33.74118,-84.33168,,02/17/11,98.88.255.85,0
23,Pawpaw,33.74126,-84.33159,,02/17/11,98.88.255.85,0
24,Pawpaw,33.74125,-84.33152,,02/17/11,98.88.255.85,0
25,Pears,33.74121,-84.33146,,02/17/11,98.88.255.85,0
26,Quince,33.74116,-84.33144,,02/17/11,98.88.255.85,0
27,Pecans,33.74117,-84.33157,,02/17/11,98.88.255.85,0
28,Blueberries,33.74123,-84.33163,,02/17/11,98.88.255.85,0
29,Blueberries,33.74123,-84.33164,,02/17/11,98.88.255.85,0
30,Other,33.74119,-84.3314,Jujubee,02/17/11,98.88.255.85,0
31,Persimmon,33.74085,-84.33146,,02/17/11,98.88.255.85,0
34,Figs,33.75457,-84.32806,,02/17/11,98.88.255.85,0
35,Apples,33.7546,-84.32798,,02/17/11,98.88.255.85,0
36,Apples,33.75456,-84.32798,,02/17/11,98.88.255.85,0
37,Pomegranates,33.78241,-84.36339,,02/17/11,98.88.255.85,0
38,Pomegranates,33.78237,-84.36339,,02/17/11,98.88.255.85,0
39,Pawpaw,33.78235,-84.36329,,02/17/11,98.88.255.85,0
42,Figs,33.78237,-84.36334,,02/17/11,98.88.255.85,0
43,Apples,33.78241,-84.36328,,02/17/11,98.88.255.85,0
45,Pears,33.78242,-84.36331,,02/17/11,98.88.255.85,0
46,Other,33.78246,-84.36326,Kiwi,02/17/11,98.88.255.85,0
47,Crabapples,33.78095,-84.37185,,02/17/11,98.88.255.85,0
48,Crabapples,33.78094,-84.37185,,02/17/11,98.88.255.85,0
49,Pomegranates,33.78094,-84.37193,,02/17/11,98.88.255.85,0
50,Plums,33.78093,-84.37188,,02/17/11,98.88.255.85,0
51,Persimmon,33.78092,-84.37185,Fuyu,02/17/11,98.88.250.220,0
54,Plums,33.78091,-84.37188,,02/17/11,184.36.245.203,0
55,Apples,33.73757,-84.34712,,02/17/11,72.152.9.253,0
56,Pomegranates,33.7374,-84.34709,,02/17/11,72.152.9.253,0
57,Pawpaw,33.73744,-84.34715,,02/17/11,72.152.9.253,0
58,Pawpaw,33.73754,-84.34717,,02/17/11,72.152.9.253,0
59,Plums,33.73754,-84.34709,,02/17/11,72.152.9.253,0
60,Persimmon,33.73745,-84.34707,Fuyu,02/17/11,72.152.9.253,0
61,Plums,33.73311,-84.42135,,02/17/11,98.92.19.243,0
62,Plums,33.73312,-84.42143,,02/17/11,98.92.19.243,0
63,Plums,33.73317,-84.4215,,02/17/11,98.92.19.243,0
64,Pawpaw,33.73302,-84.42139,,02/17/11,98.92.19.243,0
65,Pawpaw,33.73304,-84.42145,,02/17/11,98.92.19.243,0
66,Pawpaw,33.73302,-84.42143,,02/17/11,98.92.19.243,0
67,Pawpaw,33.73299,-84.42139,,02/17/11,98.92.19.243,0
68,Plums,33.73316,-84.42148,,02/17/11,98.92.19.243,0
69,Other,33.73276,-84.4214,Walnut,02/17/11,98.92.19.243,0
119,Apples,33.76942,-84.3405,,02/17/11,98.92.19.243,0
120,Apples,33.76938,-84.34052,,02/17/11,98.92.19.243,0
122,Serviceberries,33.73146,-84.37349,,02/17/11,98.92.19.243,0
123,Serviceberries,33.73131,-84.37348,,02/17/11,98.92.19.243,0
124,Pears,33.73151,-84.37339,,02/17/11,98.92.19.243,0
125,Persimmon,33.73141,-84.3734,Japanese,02/17/11,98.92.19.243,0
126,Persimmon,33.73137,-84.3734,Japanese,02/17/11,98.92.19.243,0
127,Persimmon,33.73155,-84.37346,native,02/17/11,98.92.19.243,0
128,Figs,33.73146,-84.37329,,02/17/11,98.92.19.243,0
129,Figs,33.73146,-84.37329,,02/17/11,98.92.19.243,0
130,Pomegranates,33.73142,-84.37328,,02/17/11,98.92.19.243,0
131,Pawpaw,33.73144,-84.3733,,02/17/11,98.92.19.243,0
132,Pawpaw,33.73143,-84.3733,paw-paw,02/17/11,98.92.19.243,0
133,Pawpaw,33.73143,-84.3733,paw-paw,02/17/11,98.92.19.243,0
134,Blueberries,33.73143,-84.37333,,02/17/11,98.92.19.243,0
135,Other,33.7314,-84.37343,herbs,02/17/11,98.92.19.243,0
136,Other,33.73138,-84.37343,herbs,02/17/11,98.92.19.243,0
138,Serviceberries,33.74637,-84.33981,,02/18/11,98.92.19.243,0
139,Serviceberries,33.7464,-84.33984,,02/18/11,98.92.19.243,0
140,Serviceberries,33.74645,-84.33981,,02/18/11,98.92.19.243,0
141,Serviceberries,33.74648,-84.33985,,02/18/11,98.92.19.243,0
142,Serviceberries,33.74652,-84.33982,,02/18/11,98.92.19.243,0
143,Serviceberries,33.74654,-84.33986,,02/18/11,98.92.19.243,0
145,Serviceberries,33.74719,-84.33986,,02/18/11,98.92.19.243,0
146,Serviceberries,33.74717,-84.33981,,02/18/11,98.92.19.243,0
148,Plums,33.75171,-84.35941,,02/18/11,98.92.19.243,0
152,Other,33.7517,-84.35516,jujubee,02/18/11,98.92.19.243,0
153,Other,33.7501,-84.35453,loquat,02/18/11,98.92.19.243,0
154,Pecans,33.75028,-84.35579,,02/18/11,98.92.19.243,0
155,Persimmon,33.74292,-84.34802,Fuyu,03/07/11,72.152.7.188,0
156,Persimmon,33.74291,-84.34796,Fuyu,03/07/11,72.152.7.188,0
157,Plums,33.74288,-84.34799,Santa Rosa,03/07/11,72.152.7.188,0
158,Pomegranates,33.74292,-84.34799,,03/07/11,72.152.7.188,0
160,Pawpaw,33.73944,-84.37284,Pawpaw,03/27/11,98.192.38.181,0
167,Serviceberries,33.7689,-84.35425,,03/27/11,98.192.38.181,0
168,Serviceberries,33.76893,-84.35418,,03/27/11,98.192.38.181,0
169,Serviceberries,33.76859,-84.35721,,03/27/11,98.192.38.181,0
170,Serviceberries,33.77054,-84.35844,,03/27/11,98.192.38.181,0
171,Serviceberries,33.77082,-84.35869,,03/27/11,98.192.38.181,0
174,Serviceberries,33.77352,-84.35973,,03/27/11,98.192.38.181,0
175,Serviceberries,33.77353,-84.35975,,03/27/11,98.192.38.181,0
186,Serviceberries,33.76514,-84.35486,,03/27/11,98.192.38.181,0
187,Serviceberries,33.76506,-84.3549,,03/27/11,98.192.38.181,0
201,Pomegranates,33.74226,-84.43428,,04/04/11,98.92.19.98,0
202,Pawpaw,33.74209,-84.43431,mango,04/04/11,98.92.19.98,0
203,Pawpaw,33.74213,-84.43431,rebecca\'s gold,04/04/11,98.92.19.98,0
204,Plums,33.7423,-84.43425,,04/04/11,98.92.19.98,0
205,Persimmon,33.74224,-84.4342,jap,04/04/11,98.92.19.98,0
206,Plums,33.74225,-84.43434,,04/04/11,98.92.19.98,0
207,Other,33.74228,-84.43438,Hazelnuts,04/04/11,98.92.19.98,0
208,Plums,33.74205,-84.43419,chickasaw plums,04/04/11,98.92.19.98,0
209,Quince,33.74848,-84.37365,,04/04/11,98.92.19.98,0
210,Quince,33.74849,-84.37327,,04/04/11,98.92.19.98,0
211,Pawpaw,33.74748,-84.37469,,04/04/11,98.92.19.98,0
212,Pawpaw,33.74754,-84.37468,,04/04/11,98.92.19.98,0
213,Serviceberries,33.74732,-84.37448,,04/04/11,98.92.19.98,0
214,Serviceberries,33.74836,-84.37257,,04/04/11,98.92.19.98,0
215,Serviceberries,33.7484,-84.37257,,04/04/11,98.92.19.98,0
216,Pawpaw,33.74749,-84.37461,,04/04/11,98.92.19.98,0
217,Plums,33.75173,-84.35931,,04/04/11,98.92.19.98,0
218,Other,33.74379,-84.33987,Oregano,04/04/11,98.92.19.98,0
219,Other,33.74394,-84.33986,Rosemary,04/04/11,98.92.19.98,0
220,Other,33.74291,-84.34777,Hazelnuts,04/04/11,98.92.19.98,0
221,Serviceberries,33.75256,-84.36196,2 trees here,04/10/11,98.219.8.57,0
222,Serviceberries,33.75258,-84.36193,2 trees here,04/10/11,98.219.8.57,0
223,Persimmon,33.75507,-84.3385,,04/25/11,72.152.7.53,0
225,Pears,33.75532,-84.33833,,04/25/11,72.152.7.53,0
239,Other,33.73864,-84.34464,Kiwi,04/29/11,98.92.20.58,0
240,Blueberries,33.73868,-84.34464,,04/29/11,98.92.20.58,0
241,Blueberries,33.73873,-84.34464,,04/29/11,98.92.20.58,0
242,Blueberries,33.73873,-84.34464,,04/29/11,98.92.20.58,0
243,Blueberries,33.73861,-84.34464,,04/29/11,98.92.20.58,0
244,Other,33.73867,-84.34463,Raspberries,04/29/11,98.92.20.58,0
245,Mulberries,33.76566,-84.354,,04/30/11,98.92.20.58,0
252,Mulberries,33.76281,-84.31955,,05/02/11,98.219.8.57,0
258,Serviceberries,33.76859,-84.3573,,05/08/11,98.219.8.57,0
259,Serviceberries,33.76859,-84.3573,,05/08/11,98.219.8.57,0
260,Mulberries,33.762,-84.34868,,05/08/11,98.219.8.57,0
264,Serviceberries,33.76749,-84.36781,,05/08/11,98.219.8.57,0
265,Serviceberries,33.76747,-84.36781,,05/08/11,98.219.8.57,0
266,Serviceberries,33.76746,-84.36781,,05/08/11,98.219.8.57,0
268,Mulberries,33.73517,-84.36536,,05/10/11,174.49.119.196,0
269,Mulberries,33.73568,-84.36621,,05/10/11,174.49.119.196,0
270,Mulberries,33.77497,-84.35322,,05/11/11,98.219.8.57,0
271,Mulberries,33.77448,-84.35335,White Mulberry,05/11/11,98.219.8.57,0
272,Cherries,33.7601,-84.35792,"Labeled as \""flowering cherries\""",05/11/11,98.219.8.57,0
273,Serviceberries,33.8052,-84.23889,"Three trees, two actively fruiting in May",05/12/11,140.194.193.108,0
286,Serviceberries,33.76445,-84.32335,,05/15/11,98.92.227.148,0
287,Mulberries,33.76192,-84.31914,,05/15/11,98.92.227.148,0
288,Pecans,33.75354,-84.32664,,05/15/11,98.92.227.148,0
289,Muscadines,33.77368,-84.33569,,05/15/11,98.92.227.148,0
290,Muscadines,33.77348,-84.33572,,05/15/11,98.92.227.148,0
291,Blueberries,33.88288,-84.43953,trails on top of ridge at East Palisades,05/15/11,98.92.227.148,0
292,Persimmon,33.76951,-84.29641,not sure if this one fruits...,05/15/11,98.92.227.148,0
295,Serviceberries,33.76061,-84.31104,,05/16/11,98.92.227.148,0
298,Muscadines,33.76015,-84.32997,,05/16/11,98.219.8.57,0
299,Mulberries,33.75535,-84.34951,,05/18/11,98.219.8.57,0
303,Serviceberries,33.74931,-84.36421,,05/20/11,98.219.8.57,0
305,Mulberries,33.74918,-84.36458,,05/20/11,98.219.8.57,0
310,Serviceberries,33.75252,-84.35934,,05/20/11,98.219.8.57,0
311,Peaches,33.75016,-84.35829,Peaches overhanging fence,05/20/11,98.219.8.57,0
315,Serviceberries,33.77007,-84.35064,,05/24/11,98.219.8.57,0
318,Peaches,33.76315,-84.36693,,05/24/11,98.219.8.57,0
320,Peaches,33.76448,-84.3364,,05/26/11,98.219.8.57,0
321,Peaches,33.75214,-84.37118,,05/30/11,98.219.8.57,0
351,Persimmon,33.8114,-84.4026,"this persimmon is schedule to be CUT by the city, so pick away this year!",06/17/11,74.2.230.250,0
352,Pears,33.7637,-84.29209,,06/17/11,74.2.230.250,0
353,Blueberries,33.76171,-84.32704,tree is in right of way,06/18/11,98.92.20.3,0
355,Peaches,33.74037,-84.31377,,06/29/11,72.152.7.157,0
356,Blackberries,33.7662,-84.27533,,07/05/11,170.140.105.1,0
364,Persimmon,33.79085,-84.38038,2 native persimmon trees,07/30/11,184.252.140.124,0
366,Figs,33.78567,-84.41601,Possibly the biggest fig in atlanta but lots of no trespassing sigbs so get permission ,07/30/11,184.210.217.39,0
373,Crabapples,33.7729,-84.29695,A few crabapple trees in the little shade tree area across from Chic-fil-a,07/31/11,98.92.63.44,0
375,Figs,33.75633,-84.35518,verified ,08/13/11,68.242.136.9,0
376,Pears,33.67588,-84.11638,,08/15/11,74.176.33.86,0
377,Peaches,33.66673,-84.12504,,08/15/11,74.176.33.86,0
385,Blackberries,33.77646,-84.40653,Notes,09/16/11,166.248.66.111,0
387,Serviceberries,33.78788,-84.37108,inside dog park,09/18/11,24.99.29.172,0
388,Serviceberries,33.788,-84.37107,inside dog park,09/18/11,24.99.29.172,0
389,Serviceberries,33.78819,-84.37105,inside dog park,09/18/11,24.99.29.172,0
391,Persimmon,33.80152,-84.32073,native persimmon - tall and spindly and difficult to pick,10/22/11,66.87.105.142,0
392,Muscadines,33.82658,-84.3545,Apparently large muscadine/scuppernong vine in parking lot of 50 lenox pointe,11/28/11,98.219.8.57,0
393,Persimmon,33.9249,-84.18417,Native persimmon on shoulder of onramp,11/28/11,98.219.8.57,0
394,Persimmon,33.93051,-84.17292,Native persimmon on shoulder of offramp,11/28/11,98.219.8.57,0
395,Persimmon,33.9305,-84.17307,Native persimmon on shoulder of offramp,11/28/11,98.219.8.57,0
405,Elderberries,33.7331,-84.4215,,01/26/12,98.92.18.75,0
406,Figs,33.73461,-84.42164,,01/26/12,98.92.18.75,0
407,Figs,33.73464,-84.42159,,01/26/12,98.92.18.75,0
408,Figs,33.73462,-84.42154,,01/26/12,98.92.18.75,0
409,Pecans,33.79095,-84.32426,Several large trees in the quad,02/07/12,98.219.8.57,0
410,Mulberries,33.77549,-84.30382,Rumors of delicious mulberries around here,02/19/12,98.219.8.57,0
411,Other,33.74365,-84.33983,Jujube,02/21/12,208.54.87.197,0
420,Other,33.73896,-84.34405,Jujubee,03/15/12,208.54.44.211,0
421,Other,33.70606,-84.42412,loquats,03/18/12,98.92.18.5,0
422,Other,33.70608,-84.42433,pineapple guava,03/18/12,98.92.18.5,0
425,Quince,33.70606,-84.42427,,03/18/12,98.92.18.5,0
426,Pawpaw,33.70606,-84.42418,,03/18/12,98.92.18.5,0
427,Persimmon,33.70556,-84.42442,,03/18/12,98.92.18.5,0
428,Other,33.70548,-84.42438,jujube,03/18/12,98.92.18.5,0
429,Other,33.70552,-84.42443,jujube,03/18/12,98.92.18.5,0
430,Apples,33.7055,-84.4243,,03/19/12,72.152.107.127,0
431,Apples,33.69927,-84.10827,multi-stem,03/19/12,72.152.107.127,0
436,Pears,33.67595,-84.11643,,03/21/12,72.152.2.73,0
437,Pears,33.6758,-84.11627,,03/21/12,72.152.2.73,0
438,Persimmon,33.68306,-84.11487,,03/21/12,72.152.2.73,0
440,Persimmon,33.66838,-84.11989,,03/21/12,72.152.2.73,0
444,Quince,33.70605,-84.42421,,03/21/12,72.152.2.73,0
445,Figs,33.70555,-84.42466,,03/21/12,72.152.2.73,0
446,Pecans,33.70557,-84.42406,,03/21/12,72.152.2.73,0
447,Pecans,33.70572,-84.42407,,03/21/12,72.152.2.73,0
448,Blackberries,33.70548,-84.42425,,03/21/12,72.152.2.73,0
449,Blackberries,33.70548,-84.42442,,03/21/12,72.152.2.73,0
450,Flying Dragon,33.70551,-84.42416,,03/21/12,72.152.2.73,0
451,Other,33.73752,-84.34726,Loquat,04/01/12,63.170.23.3,0
452,Cherries,33.73759,-84.34701,,04/01/12,63.170.23.3,0
454,Raspberries,33.73899,-84.34401,,04/01/12,63.170.23.3,0
457,Pawpaw,33.7824,-84.36344,,04/04/12,98.219.8.57,0
458,Pawpaw,33.78238,-84.36344,,04/04/12,98.219.8.57,0
459,Pawpaw,33.78237,-84.36344,,04/04/12,98.219.8.57,0
461,Mulberries,33.75186,-84.33036,"verified, large tree",04/05/12,66.87.110.11,0
471,Mulberries,33.77646,-84.34767,,04/22/12,50.13.203.42,0
472,Mulberries,33.75613,-84.3531,,04/23/12,98.219.8.57,0
473,Mulberries,33.75584,-84.37934,,04/24/12,98.219.8.57,0
474,Mulberries,33.75057,-84.3376,verified 2012. large tree w decent low hanging branches,04/25/12,66.87.110.134,0
475,Mulberries,33.74937,-84.33326,verified 2012. large tree w decent low hanging branches,04/25/12,66.87.107.210,0
476,Mulberries,33.74027,-84.37309,good sized.,04/25/12,166.248.99.202,0
483,Pawpaw,33.73792,-84.37248,,04/26/12,98.219.8.57,0
491,Other,33.70588,-84.42444,Dog Head Farms!,04/27/12,98.219.8.57,0
498,Serviceberries,33.79108,-84.37163,verified,05/03/12,66.87.111.174,0
499,Serviceberries,33.79105,-84.37167,verified,05/03/12,66.87.111.174,0
500,Serviceberries,33.79107,-84.37165,verified,05/03/12,66.87.111.174,0
501,Serviceberries,33.79105,-84.37177,verified,05/03/12,66.87.111.174,0
502,Serviceberries,33.79108,-84.37172,verified,05/03/12,66.87.111.174,0
542,Apples,33.76485,-84.31169,verified 2012,05/13/12,66.87.109.112,0
552,Serviceberries,33.78746,-84.32483,,05/22/12,98.219.8.57,0
553,Serviceberries,33.76353,-84.34072,,05/24/12,98.219.8.57,0
554,Serviceberries,33.76355,-84.34066,,05/24/12,98.219.8.57,0
555,Serviceberries,33.76357,-84.34058,,05/24/12,98.219.8.57,0
556,Serviceberries,33.7635,-84.34097,,05/24/12,98.219.8.57,0
557,Figs,33.73139,-84.37353,Fruit garden,05/25/12,74.176.54.175,0
558,Other,33.7314,-84.37347,Elderberry,05/25/12,74.176.54.175,0
559,Pears,33.73141,-84.37358,,05/25/12,74.176.54.175,0
560,Persimmon,33.7315,-84.37357,,05/25/12,74.176.54.175,0
561,Persimmon,33.73133,-84.37356,,05/25/12,74.176.54.175,0
579,Mulberries,33.77372,-84.37282,,06/03/12,24.30.52.208,0
580,Serviceberries,33.77665,-84.36317,,06/06/12,98.219.8.57,0
581,Serviceberries,33.77666,-84.36326,,06/06/12,98.219.8.57,0
582,Serviceberries,33.77665,-84.36336,,06/06/12,98.219.8.57,0
583,Serviceberries,33.77664,-84.36347,,06/06/12,98.219.8.57,0
584,Serviceberries,33.78228,-84.35945,,06/07/12,98.219.8.57,0
585,Serviceberries,33.78239,-84.35946,,06/07/12,98.219.8.57,0
586,Serviceberries,33.78244,-84.35933,,06/08/12,98.219.8.57,0
587,Serviceberries,33.78233,-84.35931,,06/08/12,98.219.8.57,0
588,Serviceberries,33.78254,-84.35934,,06/08/12,98.219.8.57,0
589,Serviceberries,33.78265,-84.35935,,06/08/12,98.219.8.57,0
593,Blueberries,33.77184,-84.32237,,06/20/12,98.219.8.57,0
594,Blueberries,33.77185,-84.32239,,06/20/12,98.219.8.57,0
595,Blueberries,33.77185,-84.32241,,06/20/12,98.219.8.57,0
596,Blueberries,33.77185,-84.32243,,06/20/12,98.219.8.57,0
597,Blueberries,33.77185,-84.32245,,06/20/12,98.219.8.57,0
598,Blueberries,33.77232,-84.31793,,06/20/12,98.219.8.57,0
599,Blueberries,33.77231,-84.31798,,06/20/12,98.219.8.57,0
600,Blueberries,33.77259,-84.3184,,06/20/12,98.219.8.57,0
601,Blueberries,33.77254,-84.31832,,06/20/12,98.219.8.57,0
602,Blueberries,33.77252,-84.31831,,06/20/12,98.219.8.57,0
603,Blueberries,33.77251,-84.31829,,06/20/12,98.219.8.57,0
604,Blueberries,33.7725,-84.31828,,06/20/12,98.219.8.57,0
605,Blueberries,33.77253,-84.3183,,06/20/12,98.219.8.57,0
614,Peaches,33.77911,-84.37122,,07/27/12,98.219.8.211,0
615,Mulberries,33.74987,-84.38142,,07/30/12,74.92.194.145,0
616,Mulberries,33.75739,-84.35391,,07/30/12,74.92.194.145,0
617,Figs,33.75312,-84.33324,,08/02/12,50.10.104.248,0
618,Figs,33.68466,-84.11355,,08/02/12,50.10.104.248,0
619,Pears,33.68467,-84.11348,,08/02/12,50.10.104.248,0
620,Pears,33.68454,-84.11346,,08/02/12,50.10.104.248,0
621,Other,33.66753,-84.13859,black walnut,08/02/12,50.10.104.248,0
622,Persimmon,33.66767,-84.13864,,08/02/12,50.10.104.248,0
623,Pecans,33.741751,-84.383583,giant tree in empty lot,08/06/12,66.87.108.224,0
624,Peaches,33.74211,-84.384295,two trees overhanging sidewalk. ripe in early Aug 2012,08/06/12,66.87.108.224,0
625,Figs,37.38127,-122.02591,Notes,08/10/12,99.92.89.6,0
626,Serviceberries,33.87968,-84.45288,Many potential trees along onramp. Unconfirmed.,08/14/12,98.219.8.211,0
627,Muscadines,33.79515,-84.40769,Notes,08/16/12,70.193.129.77,0
628,Persimmon,33.88665,-84.22495,Native persimmon overhanging the sidewalk ,08/22/12,66.87.111.48,0
631,Apples,42.39136,21.73575,Dardhat,09/20/12,80.218.14.13,0
633,Blackberries,33.73124,-84.3566,,09/25/12,50.13.220.67,0
634,Pecans,33.73135,-84.35201,,09/25/12,50.13.220.67,0
635,Pecans,33.73142,-84.35201,,09/28/12,50.13.220.67,0
637,Other,-82.14574,42.29291,very fruitful mango tree,10/28/12,50.13.220.67,0
638,Apples,-72.25645,95.37266,mango tree,10/28/12,50.13.220.67,0
639,Apples,33.78642,-84.30204,123,11/05/12,200.54.96.2,0
640,Apples,33.78514,-84.29912,123,11/05/12,200.54.96.2,0
641,Plums,33.73101,-84.35504,,11/07/12,50.13.220.67,0
642,Plums,33.73108,-84.35474,,11/07/12,50.13.220.67,0
643,Persimmon,33.94457,-84.33191,Dunwoody Library,11/07/12,99.101.70.81,0
644,Persimmon,33.93602,-84.15473,Native persimmon,11/17/12,98.219.8.211,0
645,Crabapples,33.82894,-84.09408,uiu,11/19/12,180.151.37.83,0
646,Apples,33.754584,-84.32792,,11/25/12,66.87.109.102,0
647,Apples,33.754552,-84.327919,,11/25/12,66.87.109.102,0
648,Figs,33.75458,-84.327986,,11/25/12,66.87.109.102,0
649,Flying Dragon,33.74732,-84.3744,,12/09/12,50.13.220.67,0
650,Other,-81.12039,-115.66406,large fruitful mango tree ,12/09/12,50.13.220.67,0
651,Flying Dragon,33.72798,-84.35565,full patch,12/16/12,50.13.220.67,0
652,Flying Dragon,33.72809,-84.35509,full patch,12/16/12,50.13.220.67,0
653,Flying Dragon,33.72798,-84.35474,full patch,12/16/12,50.13.220.67,0
654,Other,33.72919,-84.35955,oregon grape root,12/16/12,50.13.220.67,0
655,Figs,33.74046,-84.33958,empty lot fig!,01/13/13,72.152.101.105,0
656,Pears,33.618794,-84.393011,rumors of large pear trees around here (from Doghead Randy),01/28/13,66.87.111.176,0
657,Apples,33.77507,-84.44127,Notes,01/30/13,23.31.134.113,0
658,Apples,33.77513,-84.44125,Notes,01/30/13,23.31.134.113,0
659,Blackberries,33.77516,-84.44108,Notes,01/30/13,23.31.134.113,0
660,Blackberries,33.77514,-84.44098,Notes,01/30/13,23.31.134.113,0
661,Blackberries,33.77494,-84.44089,Notes,01/30/13,23.31.134.113,0
662,Blueberries,33.7751,-84.44118,Notes,01/30/13,23.31.134.113,0
663,Peaches,33.77501,-84.4404,Notes,01/30/13,23.31.134.113,0
664,Peaches,33.77511,-84.44045,Notes,01/30/13,23.31.134.113,0
665,Peaches,33.77511,-84.44029,Notes,01/30/13,23.31.134.113,0
666,Pears,33.77483,-84.44049,Notes,01/30/13,23.31.134.113,0
667,Pears,33.77484,-84.4407,Notes,01/30/13,23.31.134.113,0
668,Raspberries,33.77512,-84.44088,Notes,01/30/13,23.31.134.113,0
669,Other,33.77505,-84.44102,Grove Park Community Garden,01/30/13,23.31.134.113,0
670,Serviceberries,33.74389,-84.33994,planted 2013 -- Added by ,02/10/13,50.10.104.248,0
671,Serviceberries,33.74394,-84.33994,planted 2013 -- Added by ,02/10/13,50.10.104.248,0
672,Serviceberries,33.74398,-84.33994,planted 2013 -- Added by ,02/10/13,50.10.104.248,0
673,Serviceberries,33.74401,-84.33994,planted 2013 -- Added by ,02/10/13,50.10.104.248,0
674,Serviceberries,33.74406,-84.33994,planted 2013 -- Added by ,02/10/13,50.10.104.248,0
675,Serviceberries,33.74406,-84.33998,planted 2013 -- Added by ,02/10/13,50.10.104.248,0
676,Serviceberries,33.74407,-84.34003,planted 2013 -- Added by ,02/10/13,50.10.104.248,0
677,Serviceberries,33.74408,-84.34009,planted 2013 -- Added by ,02/10/13,50.10.104.248,0
679,Serviceberries,33.74408,-84.34019,planted 2013 -- Added by ,02/10/13,50.10.104.248,0
680,Serviceberries,33.74415,-84.33845,planted 2013 -- Added by ,02/10/13,50.10.104.248,0
681,Serviceberries,33.74415,-84.33852,planted 2013 -- Added by ,02/10/13,50.10.104.248,0
682,Serviceberries,33.74415,-84.33859,planted 2013 -- Added by ,02/10/13,50.10.104.248,0
683,Serviceberries,33.74399,-84.33827,planted 2013 -- Added by ,02/10/13,50.10.104.248,0
684,Serviceberries,33.74392,-84.33827,planted 2013 -- Added by ,02/10/13,50.10.104.248,0
685,Serviceberries,33.74385,-84.33827,planted 2013 -- Added by ,02/10/13,50.10.104.248,0
686,Blackberries,33.74379,-84.3398,planted 2011 -- Added by ,02/10/13,50.10.104.248,0
691,Pomegranates,33.74354,-84.33996,"few years old, kinda beat up next to street, nice spring buds -- Added by Robby",02/20/13,50.10.104.248,0
692,Pomegranates,33.74358,-84.33996,"few years old, kinda beat up next to street, nice spring buds -- Added by Robby",02/20/13,50.10.104.248,0
693,Pomegranates,33.74362,-84.33996,"few years old, kinda beat up next to street, nice spring buds -- Added by Robby",02/20/13,50.10.104.248,0
694,Other,33.73994,-84.34477,Pineapple guav -- Added by alfi 2012,03/10/13,50.10.104.248,0
695,Other,33.74607,-84.33109,Crim High Orchard -- Added by alfi 2012,03/10/13,50.10.104.248,0
696,Other,33.75137,-84.35497,Lang Carson Orchard -- Added by alfi 2012,03/10/13,50.10.104.248,0
697,Other,33.7305,-84.43495,Outdoor Activity Center Orchard -- Added by alfi 2012,03/10/13,50.10.104.248,0
698,Other,33.76835,-84.27988,Global Growers Orchard -- Added by alfi 2012,03/10/13,50.10.104.248,0
699,Other,33.73338,-84.40429,Welch St Park Orchard -- Added by alfi 2012,03/10/13,50.10.104.248,0
700,Pears,33.8421,-84.51777,some gigantic pear tree near here -- Added by ,03/10/13,98.219.8.211,0
701,Serviceberries,33.75088,-84.3737,new 2013 -- Added by robby,03/10/13,24.99.252.65,0
702,Serviceberries,33.75103,-84.37374,new 2013 -- Added by robby,03/10/13,24.99.252.65,0
703,Serviceberries,33.75124,-84.37379,new 2013 -- Added by robby,03/10/13,24.99.252.65,0
704,Serviceberries,33.75144,-84.37385,new 2013 -- Added by robby,03/10/13,24.99.252.65,0
705,Serviceberries,33.75079,-84.37367,new 2013 -- Added by robby,03/10/13,24.99.252.65,0
706,Other,33.73882,-84.34403,pineapple guav-2013 -- Added by robby,03/10/13,24.99.252.65,0
707,Other,33.73883,-84.34398,pineapple guav-2013 -- Added by robby,03/10/13,24.99.252.65,0
708,Other,33.73886,-84.34394,pineapple guav-2013 -- Added by robby,03/10/13,24.99.252.65,0
709,Apples,33.73855,-84.34466,"planted 2012, early season -- Added by robby",03/10/13,24.99.252.65,0
